County,Republican,Florida Democratic Party,Minor Party,No Party Affiliation,Totals
,Party of,,,,
,Florida,,,,
ALACHUA,49407,78894,5094,40576,173971
BAKER,12894,3620,423,2397,19334
BAY,75354,26297,4619,27878,134148
BRADFORD,11188,4342,407,2673,18610
BREVARD,204499,118133,16746,113369,452747
BROWARD,276345,523275,28647,346944,1175211
CALHOUN,4917,2390,88,920,8315
CHARLOTTE,79782,31486,5911,36972,154151
CITRUS,69816,22519,4144,25310,121789
CLAY,89376,32309,5359,32962,160006
COLLIER,144243,53712,7259,62199,267413
COLUMBIA,24468,10405,1208,7014,43095
DESOTO,9063,5700,475,4628,19866
DIXIE,7125,2196,239,1761,11321
DUVAL,241529,253450,21494,148804,665277
ESCAMBIA,102269,65787,6747,45320,220123
FLAGLER,48641,24304,3507,22356,98808
FRANKLIN,4023,2301,271,1086,7681
GADSDEN,5782,18293,435,2856,27366
GILCHRIST,9152,2021,387,1889,13449
GLADES,4114,1631,205,1245,7195
GULF,7030,2608,344,1516,11498
HAMILTON,3706,2544,184,915,7349
HARDEE,7101,3142,296,2639,13178
HENDRY,8925,5347,448,3505,18225
HERNANDO,71569,34438,5329,34939,146275
HIGHLANDS,35184,15164,2090,13845,66283
HILLSBOROUGH,302973,305187,27899,249990,886049
HOLMES,8026,1599,243,1215,11083
INDIAN RIVER,62157,28034,4309,26733,121233
JACKSON,15871,8684,502,2827,27884
JEFFERSON,4560,4077,165,1191,9993
LAFAYETTE,3390,682,69,317,4458
LAKE,129689,69101,8853,67204,274847
LEE,240261,112200,15198,134582,502241
LEON,57443,99056,5514,41473,203486
LEVY,18413,6688,997,4582,30680
LIBERTY,2742,1426,21,454,4643
MADISON,5560,5062,134,1558,12314
MANATEE,137503,71473,8689,68033,285698
MARION,137022,71784,8858,56100,273764
MARTIN,62633,25301,4296,25870,118100
MIAMI-DADE,497394,523415,33121,494788,1548718
MONROE,23794,14981,1822,12414,53011
NASSAU,47677,13615,2774,14977,79043
OKALOOSA,88395,26105,4912,35351,154763
OKEECHOBEE,12317,4724,716,3528,21285
ORANGE,227091,330679,27139,252326,837235
OSCEOLA,67252,87434,6989,81420,243095
PALM BEACH,298202,337237,30873,255302,921614
PASCO,180676,105932,15246,110568,412422
PINELLAS,247456,209926,20325,172933,650640
POLK,192099,140354,14554,122573,469580
PUTNAM,25921,11859,1223,7865,46868
SANTA ROSA,91172,22154,4883,28960,147169
SARASOTA,161403,87663,10108,80525,339699
SEMINOLE,122495,112148,11912,103966,350521
ST. JOHNS,129578,49478,6777,50064,235897
ST. LUCIE,91382,83635,8939,61082,245038
SUMTER,74378,24691,2732,25347,127148
SUWANNEE,17108,5794,760,3972,27634
TAYLOR,7504,3051,230,1062,11847
UNION,5070,1713,150,720,7653
VOLUSIA,167664,109293,14064,105060,396081
WAKULLA,13150,6319,735,4045,24249
WALTON,40962,8069,1987,10679,61697
WASHINGTON,10017,2889,303,1862,15071
TOTALS,5635902,4479820,431377,3710036,14257135